date,deaths,x,total
19-Aug,1,1,1
20-Aug,1,2,2
21-Aug,1,3,3
22-Aug,0,4,3
23-Aug,1,5,4
24-Aug,1,6,5
25-Aug,0,7,5
26-Aug,1,8,6
27-Aug,1,9,7
28-Aug,1,10,8
29-Aug,1,11,9
30-Aug,8,12,17
31-Aug,56,13,73
01-Sep,143,14,216
02-Sep,116,15,332
03-Sep,54,16,386
04-Sep,46,17,432
05-Sep,36,18,468
06-Sep,20,19,488
07-Sep,28,20,516
08-Sep,12,21,528
09-Sep,11,22,539
10-Sep,5,23,544
11-Sep,5,24,549
12-Sep,1,25,550
13-Sep,3,26,553
14-Sep,0,27,553
15-Sep,1,28,554
16-Sep,4,29,558
17-Sep,2,30,560
18-Sep,3,31,563
19-Sep,0,32,563
20-Sep,0,33,563
21-Sep,2,34,565
22-Sep,1,35,566
23-Sep,1,36,567
24-Sep,1,37,568
25-Sep,1,38,569
26-Sep,1,39,570
27-Sep,1,40,571
28-Sep,0,41,571
29-Sep,0,42,571
